Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.36%,99.18%,99.24%,99.11%,29014016
Kora,75.11%,85.78%,78.09%,95.16%,2586505
Nezdrava_hrca,79.40%,88.52%,92.04%,85.26%,61470
Okolie,99.37%,99.68%,99.98%,99.39%,93148879
Prasklina,44.28%,61.38%,52.16%,74.56%,71841

Mean (macro),79.30%,86.91%,84.30%,90.70%,
Pixel accuracy,99.21%,,,,
