Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.25%,99.12%,99.44%,98.80%,29014016
Kora,74.48%,85.37%,76.10%,97.22%,2586505
Nezdrava_hrca,77.75%,87.48%,94.75%,81.26%,61470
Okolie,99.39%,99.69%,99.98%,99.41%,93148879
Prasklina,44.71%,61.79%,58.25%,65.79%,71841

Mean (macro),78.92%,86.69%,85.70%,88.49%,
Pixel accuracy,99.19%,,,,
