Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,97.99%,98.98%,99.55%,98.43%,29014016
Kora,73.79%,84.92%,75.05%,97.77%,2586505
Nezdrava_hrca,80.54%,89.22%,87.65%,90.85%,61470
Okolie,99.37%,99.69%,99.98%,99.39%,93148879
Prasklina,37.70%,54.76%,39.88%,87.33%,71841

Mean (macro),77.88%,85.51%,80.42%,94.76%,
Pixel accuracy,99.13%,,,,
