Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.45%,99.22%,99.27%,99.17%,26211649
Kora,75.55%,86.07%,78.45%,95.34%,2259483
Nezdrava_hrca,81.44%,89.77%,92.06%,87.59%,52597
Okolie,99.37%,99.69%,99.98%,99.39%,82165102
Prasklina,42.58%,59.73%,51.16%,71.76%,57345

Mean (macro),79.48%,86.90%,84.18%,90.65%,
Pixel accuracy,99.24%,,,,
