Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.30%,99.14%,99.33%,98.96%,25404538
Kora,75.04%,85.74%,76.61%,97.34%,2187075
Nezdrava_hrca,76.35%,86.59%,96.11%,78.78%,51634
Okolie,99.36%,99.68%,99.99%,99.37%,79587884
Prasklina,42.11%,59.26%,55.28%,63.87%,54227

Mean (macro),78.23%,86.08%,85.46%,87.66%,
Pixel accuracy,99.20%,,,,
