Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.34%,99.16%,99.47%,98.85%,26211649
Kora,74.83%,85.60%,76.32%,97.47%,2259483
Nezdrava_hrca,79.50%,88.58%,95.04%,82.94%,52597
Okolie,99.39%,99.70%,99.98%,99.41%,82165102
Prasklina,43.37%,60.50%,56.23%,65.46%,57345

Mean (macro),79.09%,86.71%,85.41%,88.83%,
Pixel accuracy,99.21%,,,,
