Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.00%,98.99%,99.34%,98.64%,29014016
Kora,73.78%,84.91%,75.74%,96.61%,2586505
Nezdrava_hrca,78.77%,88.12%,85.51%,90.90%,61470
Okolie,99.33%,99.66%,99.99%,99.34%,93148879
Prasklina,37.36%,54.40%,39.23%,88.67%,71841

Mean (macro),77.45%,85.22%,79.96%,94.83%,
Pixel accuracy,99.11%,,,,
