Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.39%,99.19%,99.58%,98.79%,26211649
Kora,75.83%,86.25%,77.09%,97.89%,2259483
Nezdrava_hrca,81.91%,90.06%,94.02%,86.41%,52597
Okolie,99.44%,99.72%,99.97%,99.47%,82165102
Prasklina,44.43%,61.52%,53.99%,71.50%,57345

Mean (macro),80.00%,87.35%,84.93%,90.81%,
Pixel accuracy,99.25%,,,,
