Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.31%,99.15%,99.54%,98.76%,29014016
Kora,75.30%,85.91%,76.76%,97.53%,2586505
Nezdrava_hrca,79.84%,88.79%,93.86%,84.24%,61470
Okolie,99.43%,99.71%,99.98%,99.45%,93148879
Prasklina,46.47%,63.46%,55.19%,74.64%,71841

Mean (macro),79.87%,87.40%,85.07%,90.93%,
Pixel accuracy,99.23%,,,,
