Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,97.93%,98.95%,99.54%,98.37%,29014016
Kora,73.00%,84.39%,74.19%,97.86%,2586505
Nezdrava_hrca,80.39%,89.13%,91.20%,87.15%,61470
Okolie,99.36%,99.68%,99.98%,99.38%,93148879
Prasklina,39.55%,56.68%,42.30%,85.88%,71841

Mean (macro),78.05%,85.77%,81.44%,93.73%,
Pixel accuracy,99.10%,,,,
