Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.41%,99.20%,99.33%,99.06%,25404538
Kora,75.93%,86.32%,77.97%,96.67%,2187075
Nezdrava_hrca,77.64%,87.41%,93.83%,81.82%,51634
Okolie,99.40%,99.70%,99.99%,99.41%,79587884
Prasklina,43.02%,60.16%,55.95%,65.05%,54227

Mean (macro),78.88%,86.56%,85.42%,88.40%,
Pixel accuracy,99.25%,,,,
