Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.23%,99.11%,99.59%,98.62%,26211649
Kora,75.43%,85.99%,76.57%,98.06%,2259483
Nezdrava_hrca,81.45%,89.78%,93.79%,86.09%,52597
Okolie,99.46%,99.73%,99.97%,99.49%,82165102
Prasklina,43.39%,60.52%,51.95%,72.49%,57345

Mean (macro),79.59%,87.03%,84.37%,90.95%,
Pixel accuracy,99.23%,,,,
