Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.05%,99.01%,99.37%,98.66%,29014016
Kora,73.74%,84.88%,75.73%,96.56%,2586505
Nezdrava_hrca,79.98%,88.87%,87.65%,90.14%,61470
Okolie,99.34%,99.67%,99.99%,99.36%,93148879
Prasklina,38.71%,55.82%,41.02%,87.31%,71841

Mean (macro),77.96%,85.65%,80.75%,94.40%,
Pixel accuracy,99.13%,,,,
