Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.35%,99.17%,99.47%,98.86%,25404538
Kora,74.80%,85.58%,76.31%,97.42%,2187075
Nezdrava_hrca,80.45%,89.17%,95.01%,84.00%,51634
Okolie,99.39%,99.69%,99.98%,99.41%,79587884
Prasklina,43.17%,60.31%,56.22%,65.02%,54227

Mean (macro),79.23%,86.78%,85.40%,88.94%,
Pixel accuracy,99.22%,,,,
