Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,96.86%,98.41%,99.54%,97.30%,7991837
Kora,69.45%,81.97%,70.59%,97.72%,829568
Nezdrava_hrca,72.39%,83.98%,89.65%,78.99%,60769
Okolie,99.46%,99.73%,99.97%,99.49%,27651843
Prasklina,38.33%,55.42%,49.33%,63.22%,4783

Mean (macro),75.30%,83.90%,81.82%,87.34%,
Pixel accuracy,98.93%,,,,
