Class,IoU,Dice/F1,Precision,Recall,Support (px)
Drevo,98.14%,99.06%,99.57%,98.56%,29014016
Kora,75.01%,85.72%,76.26%,97.86%,2586505
Nezdrava_hrca,79.49%,88.57%,93.84%,83.87%,61470
Okolie,99.45%,99.72%,99.97%,99.48%,93148879
Prasklina,45.20%,62.26%,53.47%,74.52%,71841

Mean (macro),79.46%,87.07%,84.62%,90.86%,
Pixel accuracy,99.21%,,,,
